State,Park ,Recreation Visitors,Percent Change,ConcessionerLodgingOvernights,ConcessionerLodgingOvernightsPercentChange,ConcessionerCampingOvernights,ConcessionerCampingOvernightsPercentChange,TentOvernights,TentOvernightPercentChange,RecreationVehicleOvernights,RecreationVehicleOvernightsPercentChange,BackcountryOvernights,BackcountryOvernightsPercentChange
Alabama,Horseshoe Bend NMP,"28,600",-36.97%,0,,0,,0,,0,,0,
Alabama,Little River Canyon NPRES,"802,375",23.44%,0,,0,,0,,0,,0,
Alabama,Natchez Trace PKWY,"428,736",-2.72%,0,,0,,0,,0,,0,
Alabama,Russell Cave NM,"8,462",-49.15%,0,,0,,0,,0,,0,
Alabama,Tuskegee Airmen NHS,"6,843",-77.26%,0,,0,,0,,0,,0,
Alabama,Tuskegee Institute NHS,"4,737",-86.98%,0,,0,,0,,0,,0,
Alaska,Aniakchak NM & PRES,36,-64.00%,0,,0,,0,,0,,211,-8.26%
Alaska,Bering Land Bridge NPRES,"2,642",0.00%,0,,0,,0,,0,,"1,123",0.00%
Alaska,Cape Krusenstern NM,"11,369",-29.93%,0,,0,,0,,0,,"4,703",-26.80%
Alaska,Denali NP & PRES,"54,850",-90.88%,0,,"12,831",-51.36%,0,,0,,"5,332",-79.66%
Alaska,Gates of the Arctic NP & PRES,"2,872",-72.69%,0,,0,,0,,0,,"1,086",-73.24%
Alaska,Glacier Bay NP & PRES,"5,748",-99.14%,0,-100.00%,0,,94,-87.37%,0,,989,-76.51%
Alaska,Katmai NP & PRES,"51,511",-38.80%,654,-84.68%,0,,0,-100.00%,0,,"20,298",4331.88%
Alaska,Kenai Fjords NP,"115,882",-67.50%,0,,0,,0,-100.00%,0,,122,-78.45%
Alaska,Klondike Gold Rush NHP Alaska,297,-99.97%,0,,0,,0,-100.00%,0,,65,-98.88%
Alaska,Kobuk Valley NP,"11,185",-29.06%,0,,0,,0,,0,,"4,888",-30.67%
Alaska,Lake Clark NP & PRES,"4,948",-71.16%,0,,0,,0,,0,,"3,048",344.31%
Alaska,Noatak NPRES,"12,533",-27.20%,0,,0,,0,,0,,"3,571",-36.80%
Alaska,Sitka NHP,"115,494",-50.41%,0,,0,,0,,0,,0,
Alaska,Wrangell-St. Elias NP & PRES,"16,655",-77.65%,0,,0,,0,,0,,0,
Alaska,Yukon-Charley Rivers NPRES,666,-40.22%,0,,0,,0,,0,,"1,829",-3.64%
American Samoa,National Park of American Samoa,"4,819",-91.97%,0,,0,,0,,0,,0,
Arizona,Canyon de Chelly NM,"76,752",-83.34%,"4,627",-70.88%,"1,125",-92.21%,0,,0,,190,-76.54%
Arizona,Casa Grande Ruins NM,"44,269",-35.26%,0,,0,,0,,0,,0,
Arizona,Chiricahua NM,"44,794",-26.15%,0,,0,,"5,162",-27.87%,"3,820",-26.97%,0,
Arizona,Coronado NMEM,"156,199",19.85%,0,,0,,0,,0,,0,
Arizona,Fort Bowie NHS,"6,456",-14.79%,0,,0,,0,,0,,0,
Arizona,Glen Canyon NRA,"357,804",-57.46%,"18,820",-68.18%,"42,652",-33.86%,"1,946",-82.54%,"1,554",-55.42%,0,
Arizona,Grand Canyon NP,"2,897,098",-51.51%,"218,922",-61.99%,"31,276",-34.02%,"17,331",-85.58%,"6,338",-90.03%,"177,589",-44.51%
Arizona,Hubbell Trading Post NHS,"11,407",-77.32%,0,,0,,0,,0,,0,
Arizona,Lake Mead NRA,"2,004,127",6.90%,"11,578",273.97%,"92,260",383.47%,"1,421",-96.89%,"1,809",-96.89%,"26,190",-72.93%
Arizona,Montezuma Castle NM,"242,028",-35.67%,0,,0,,0,,0,,0,
Arizona,Navajo NM,"3,985",-92.03%,0,,0,,129,-94.58%,172,-92.36%,0,-100.00%
Arizona,Organ Pipe Cactus NM,"191,512",-27.23%,0,,0,,"5,040",-27.17%,"27,790",11.28%,145,-47.65%
Arizona,Petrified Forest NP,"384,483",-40.26%,0,,0,,0,,0,,209,-85.60%
Arizona,Pipe Spring NM,"10,623",-61.35%,0,,0,,0,,0,,0,
Arizona,Saguaro NP,"762,226",-25.29%,0,,0,,0,,0,,"3,461",58.40%
Arizona,Sunset Crater Volcano NM,"83,669",-22.80%,0,,0,,0,,0,,0,
Arizona,Tonto NM,"24,756",-14.20%,0,,0,,0,,0,,0,
Arizona,Tumacacori NHP,"23,726",-40.24%,0,,0,,0,,0,,0,
Arizona,Tuzigoot NM,"78,358",-20.48%,0,,0,,0,,0,,0,
Arizona,Walnut Canyon NM,"107,422",-29.48%,0,,0,,0,,0,,0,
Arizona,Wupatki NM,"146,074",-21.91%,0,,0,,0,,0,,0,-100.00%
Arkansas,Arkansas Post NMEM,"29,653",3.98%,0,,0,,0,,0,,0,
Arkansas,Buffalo NR,"1,478,846",11.50%,"3,133",11.06%,0,,"45,764",23.67%,"25,235",139.60%,"12,291",-39.65%
Arkansas,Fort Smith NHS,"67,574",-46.16%,0,,0,,0,,0,,0,
Arkansas,Hot Springs NP,"1,348,215",-8.11%,0,,0,,"3,190",119.24%,"27,217",12.23%,0,
Arkansas,Little Rock Central High School NHS,"68,497",-59.45%,0,,0,,0,,0,,0,
Arkansas,Pea Ridge NMP,"80,455",-21.70%,0,,0,,0,,0,,0,
Arkansas,President W.J. Clinton Birthplace Home NHS,"4,055",-53.70%,0,,0,,0,,0,,0,
California,Cabrillo NM,"523,878",-31.20%,0,,0,,0,,0,,0,
California,Cesar E. Chavez NM,"5,668",-65.63%,0,,0,,0,,0,,0,
California,Channel Islands NP,"167,290",-59.16%,0,,0,,0,,0,,"9,264",-60.43%
California,Death Valley NP,"809,191",-53.52%,"7,753",-72.07%,"1,890",-56.65%,"68,417",-8.18%,"78,746",-19.30%,"1,674",-12.58%
California,Devils Postpile NM,"108,590",-26.56%,0,,0,,0,,0,,0,
California,Eugene O'Neill NHS,"14,423",389.91%,0,,0,,0,,0,,0,
California,Fort Point NHS,"884,538",-37.77%,0,,0,,0,,0,,0,
California,Golden Gate NRA,"12,400,045",-17.35%,"6,774",-85.53%,0,,"1,502",-55.73%,0,,303,-58.49%
California,John Muir NHS,"33,603",-17.49%,0,,0,,0,,0,,0,
California,Joshua Tree NP,"2,399,542",-19.71%,0,,0,,"179,600",-22.69%,"54,393",-30.44%,"8,915",-50.97%
California,Kings Canyon NP,"415,077",-34.33%,"11,461",-79.93%,0,,"17,846",-82.78%,"4,328",-86.72%,"10,831",-30.79%
California,Lassen Volcanic NP,"542,274",4.88%,"3,914",-28.67%,"2,046",-5.01%,"70,239",23.54%,"32,754",9.49%,"5,187",-22.41%
California,Lava Beds NM,"111,258",1.48%,0,,0,,"2,724",-64.34%,"1,661",-53.53%,17,-37.04%
California,Manzanar NHS,"65,289",-32.95%,0,,0,,0,,0,,0,
California,Mojave NPRES,"608,633",-27.67%,0,,0,,458,316.36%,575,379.17%,0,
California,Muir Woods NM,"324,232",-60.07%,0,,0,,0,,0,,0,
California,Pinnacles NP,"165,740",-6.48%,0,,"26,118",,0,,0,,0,
California,Point Reyes NS,"2,252,424",-0.57%,"1,798",-80.68%,36,50.00%,0,,0,,"22,998",-38.10%
California,Port Chicago Naval Magazine NMEM,70,-91.57%,0,,0,,0,,0,,0,
California,Redwood NP,"265,177",-47.46%,0,,0,,"1,706",-37.30%,0,,"4,931",50.52%
California,Rosie The Riveter WWII Home Front NHP,"9,528",-81.10%,0,,0,,0,,0,,0,
California,San Francisco Maritime NHP,"1,936,101",-51.80%,0,,0,,0,,0,,0,
California,Santa Monica Mountains NRA,"733,576",3.68%,0,,0,,0,,0,,0,-100.00%
California,Sequoia NP,"796,086",-36.11%,"29,222",-58.02%,0,,"25,333",-80.97%,"18,005",-73.78%,"20,943",-29.89%
California,Whiskeytown NRA,"805,295",17.19%,0,,"10,324",47.91%,872,27.86%,667,30.02%,0,
California,Yosemite NP,"2,268,313",-48.71%,"252,374",-63.01%,0,,"68,002",-85.52%,"44,496",-79.01%,"143,760",-7.60%
Colorado,Bent's Old Fort NHS,"12,438",-42.61%,0,,0,,0,,0,,0,
Colorado,Black Canyon of the Gunnison NP,"341,620",-21.07%,0,,0,,"18,768",5.46%,"10,979",-10.54%,"2,419",29.98%
Colorado,Colorado NM,"435,625",9.72%,0,,0,,"16,601",-3.25%,"11,349",-37.09%,175,-37.05%
Colorado,Curecanti NRA,"921,584",10.23%,0,,0,,"21,748",5.53%,"45,496",6.83%,235,-35.62%
Colorado,Dinosaur NM,"195,466",-11.65%,0,,0,,"5,319",-15.29%,"1,613",70.33%,"14,705",-34.50%
Colorado,Florissant Fossil Beds NM,"61,081",-21.02%,0,,0,,0,,0,,0,
Colorado,Great Sand Dunes NP & PRES,"461,532",-12.51%,0,,0,,"21,783",-25.85%,"12,925",-40.89%,"4,910",-0.47%
Colorado,Hovenweep NM,"8,736",-43.92%,0,,0,,0,,0,,0,
Colorado,Mesa Verde NP,"287,477",-48.31%,"5,724",-73.36%,0,,"12,660",-62.34%,"13,809",-47.11%,0,
Colorado,Rocky Mountain NP,"3,305,199",-29.23%,0,,0,,"31,350",-72.21%,"37,017",-42.88%,"41,522",0.75%
Colorado,Sand Creek Massacre NHS,"4,215",-26.07%,0,,0,,0,,0,,0,
Connecticut,Weir Farm NHS,"25,430",-34.29%,0,,0,,0,,0,,0,
District of Columbia,Belmont-Paul Women's Equality NM,"2,535",-74.43%,0,,0,,0,,0,,0,
District of Columbia,Carter G. Woodson Home NHS,548,-76.98%,0,,0,,0,,0,,0,
District of Columbia,Chesapeake & Ohio Canal NHP,"1,173,224",-4.46%,0,,0,,0,,0,,0,
District of Columbia,Dwight D. Eisenhower MEM,"187,328",,0,,0,,0,,0,,0,
District of Columbia,Ford's Theatre NHS,"56,058",-90.21%,0,,0,,0,,0,,0,
District of Columbia,Franklin Delano Roosevelt MEM,"1,010,986",-69.40%,0,,0,,0,,0,,0,
District of Columbia,Frederick Douglass NHS,"10,969",-82.04%,0,,0,,0,,0,,0,
District of Columbia,Korean War Veterans Memorial,"1,363,714",-64.50%,0,,0,,0,,0,,0,
District of Columbia,Lincoln Memorial,"2,980,075",-61.83%,0,,0,,0,,0,,0,
District of Columbia,"Martin Luther King, Jr. Memorial","1,083,671",-70.45%,0,,0,,0,,0,,0,
District of Columbia,Mary McLeod Bethune Council House NHS,578,-84.74%,0,,0,,0,,0,,0,
District of Columbia,National Capital Parks Central,"665,650",-62.41%,0,,0,,0,,0,,0,
District of Columbia,National Capital Parks East,"804,080",-26.20%,0,,0,,0,,0,,0,
District of Columbia,Pennsylvania Avenue NHS,"15,898",-87.29%,0,,0,,0,,0,,0,
District of Columbia,President's Park,"369,533",-48.38%,0,,0,,0,,0,,0,
District of Columbia,Rock Creek Park,"1,768,152",-26.82%,0,,0,,0,,0,,0,
District of Columbia,Thomas Jefferson MEM,"852,626",-72.47%,0,,0,,0,,0,,0,
District of Columbia,Vietnam Veterans MEM,"1,585,525",-65.39%,0,,0,,0,,0,,0,
District of Columbia,Washington Monument,"83,585",-22.90%,0,,0,,0,,0,,0,
District of Columbia,White House,"114,519",-74.78%,0,,0,,0,,0,,0,
District of Columbia,World War II Memorial,"1,924,128",-60.17%,0,,0,,0,,0,,0,
Florida,Big Cypress NPRES,"1,181,930",17.32%,0,,0,,"5,213",74.82%,"10,507",-7.83%,"4,821",19.75%
Florida,Biscayne NP,"402,770",-43.15%,0,,0,,145,-39.08%,0,,0,
Florida,Canaveral NS,"1,162,950",-38.28%,0,,0,,0,,0,,"2,720",10.88%
Florida,Castillo de San Marcos NM,"251,061",-62.72%,0,,0,,0,,0,,0,
Florida,De Soto NMEM,"196,114",4.38%,0,,0,,0,,0,,0,
Florida,Dry Tortugas NP,"48,543",-38.71%,0,,0,,"3,954",-41.73%,0,,0,
Florida,Everglades NP,"702,319",-37.20%,0,,"49,078",82.44%,0,,0,,"14,159",11.21%
Florida,Fort Caroline NMEM,"404,476",115.54%,0,,0,,0,,0,,0,
Florida,Fort Matanzas NM,"543,590",-8.45%,0,,0,,0,,0,,0,
Florida,Gulf Islands NS,"3,052,959",-30.04%,0,,0,,"4,818",-84.84%,"31,585",-73.47%,0,
Florida,Timucuan EHP,"1,017,373",-15.58%,0,,0,,0,,0,,0,
Georgia,Andersonville NHS,"63,799",-38.44%,0,,0,,0,,0,,0,
Georgia,Chattahoochee River NRA,"3,066,877",-9.62%,0,,0,,0,,0,,0,
Georgia,Chickamauga & Chattanooga NMP,"339,208",-30.57%,0,,0,,0,,0,,0,
Georgia,Cumberland Island NS,"37,295",-30.81%,0,,0,,"9,444",-55.42%,0,,"2,785",-38.04%
Georgia,Fort Frederica NM,"210,892",-0.68%,0,,0,,0,,0,,0,
Georgia,Fort Pulaski NM,"357,970",-4.36%,0,,0,,0,,0,,0,
Georgia,Jimmy Carter NHS,"14,267",-71.91%,0,,0,,0,,0,,0,
Georgia,Kennesaw Mountain NBP,"2,356,401",-10.10%,0,,0,,0,,0,,0,
Georgia,"Martin Luther King, Jr. NHP","198,158",-73.98%,0,,0,,0,,0,,0,
Georgia,Ocmulgee Mounds NHP,"61,303",-58.28%,0,,0,,0,,0,,0,
Guam,War in the Pacific NHP,"318,711",-26.26%,0,,0,,0,,0,,0,
Hawaii,Haleakala NP,"319,147",-67.91%,0,,0,,"2,400",-73.54%,0,,392,-75.74%
Hawaii,Hawaii Volcanoes NP,"589,775",-56.90%,"6,603",-71.97%,993,-77.98%,782,-28.32%,50,21.95%,"4,052",10.77%
Hawaii,Kalaupapa NHP,"15,847",-77.17%,0,,0,,0,,0,,0,
Hawaii,Kaloko Honokohau NHP,"133,877",-42.52%,0,,0,,0,,0,,0,
Hawaii,Pearl Harbor NMEM,"415,542",-75.79%,0,,0,,0,,0,,0,
Hawaii,Pu'uhonua o Honaunau NHP,"130,845",-68.43%,0,,0,,0,,0,,0,
Hawaii,Pu'ukohola Heiau NHS,"23,970",-82.05%,0,,0,,0,,0,,0,
Idaho,City of Rocks NRES,"110,203",10.97%,0,,0,,0,,0,,0,
Idaho,Craters of the Moon NM & PRES,"250,872",-7.84%,0,,0,,"5,481",-8.67%,"9,535",-1.49%,147,194.00%
Idaho,Hagerman Fossil Beds NM,"14,113",-40.62%,0,,0,,0,,0,,0,
Idaho,Minidoka NHS,"4,764",-24.08%,0,,0,,0,,0,,0,
Idaho,Nez Perce NHP,"301,473",39.53%,0,,0,,0,,0,,0,
Illinois,Lincoln Home NHS,"27,744",-85.97%,0,,0,,0,,0,,0,
Indiana,George Rogers Clark NHP,"56,108",-59.96%,0,,0,,0,,0,,0,
Indiana,Indiana Dunes NP,"2,293,106",7.44%,0,,0,,"18,572",13.83%,"4,765",-26.33%,0,
Indiana,Lincoln Boyhood NMEM,"110,692",-20.20%,0,,0,,0,,0,,0,
Iowa,Effigy Mounds NM,"18,225",-72.21%,0,,0,,0,,0,,0,
Iowa,Herbert Hoover NHS,"56,270",-55.23%,0,,0,,0,,0,,0,
Kansas,Brown v. Board of Education NHS,"4,064",-81.02%,0,,0,,0,,0,,0,
Kansas,Fort Larned NHS,"21,895",-18.78%,0,,0,,0,,0,,0,
Kansas,Fort Scott NHS,"14,652",-39.12%,0,,0,,0,,0,,0,
Kansas,Nicodemus NHS,262,-92.60%,0,,0,,0,,0,,0,
Kansas,Tallgrass Prairie NPRES,"29,009",-14.05%,0,,0,,0,,0,,0,
Kentucky,Abraham Lincoln Birthplace NHP,"228,141",-4.23%,0,,0,,0,,0,,0,
Kentucky,Big South Fork NRRA,"316,775",2.95%,0,-100.00%,0,,"3,383",422.07%,"8,534",-7.68%,"4,760",37.93%
Kentucky,Cumberland Gap NHP,"683,966",4.38%,0,,0,,"3,489",13.72%,"13,265",12.95%,"1,044",104.71%
Kentucky,Mammoth Cave NP,"290,392",-47.35%,"10,602",-62.48%,0,,"18,202",-50.40%,"7,078",-34.10%,"3,090",-2.89%
Louisiana,Cane River Creole NHP,"17,430",-41.75%,0,,0,,0,,0,,0,
Louisiana,Jean Lafitte NHP & PRES,"192,601",-67.37%,0,,0,,0,,0,,0,
Louisiana,New Orleans Jazz NHP,"9,640",-76.52%,0,,0,,0,,0,,0,
Maine,Acadia NP,"2,669,034",-22.35%,0,,307,-71.83%,0,-100.00%,0,-100.00%,0,-100.00%
Maine,Katahdin Woods and Waters NM,"41,432",,0,,0,,180,,0,,325,
Maine,Saint Croix Island IHS,"6,914",-40.46%,0,,0,,0,,0,,0,
Maryland,Antietam NB,"85,884",-70.11%,0,,0,,0,,0,,0,
Maryland,Assateague Island NS,"818,949",5.85%,0,,0,,"33,115",-22.35%,"16,252",-35.32%,69,-86.50%
Maryland,Catoctin Mountain Park,"539,983",81.91%,0,,0,,"2,666",-30.66%,186,-67.93%,286,-54.68%
Maryland,Chesapeake & Ohio Canal NHP,"3,715,211",-4.46%,0,,0,,"15,523",138.16%,"1,389",134.63%,0,
Maryland,Clara Barton NHS,450,-89.02%,0,,0,,0,,0,,0,
Maryland,Fort McHenry NM & HS,"163,224",-61.09%,0,,0,,0,,0,,0,
Maryland,Fort Washington Park,"160,289",-62.18%,0,,0,,0,,0,,0,
Maryland,Greenbelt Park,"28,319",-78.00%,0,,0,,0,-100.00%,0,-100.00%,0,
Maryland,Hampton NHS,"8,728",-69.09%,0,,0,,0,,0,,0,
Maryland,Monocacy NB,"155,116",7.00%,0,,0,,0,,0,,0,
Maryland,National Capital Parks East,"89,342",-26.20%,0,,0,,0,,0,,0,
Maryland,Piscataway Park,"166,484",-49.51%,0,,0,,0,,0,,0,
Maryland,Thomas Stone NHS,"2,351",-70.69%,0,,0,,0,,0,,0,
Massachusetts,Adams NHP,"6,937",-96.30%,0,,0,,0,,0,,0,
Massachusetts,Boston African American NHS,"89,616",-78.64%,0,,0,,0,,0,,0,
Massachusetts,Boston Harbor Islands NRA,"71,991",,0,,0,,0,,0,,0,
Massachusetts,Boston NHP,"277,170",-91.34%,0,,0,,0,,0,,0,
Massachusetts,Cape Cod NS,"4,083,505",-0.31%,0,-100.00%,0,,0,,0,,0,
Massachusetts,Frederick Law Olmsted NHS,"2,570",-67.01%,0,,0,,0,,0,,0,
Massachusetts,John F. Kennedy NHS,451,-98.18%,0,,0,,0,,0,,0,
Massachusetts,Longfellow House Washington's HQ NHS,"30,014",-45.44%,0,,0,,0,,0,,0,
Massachusetts,Lowell NHP,"53,954",-88.80%,0,,0,,0,,0,,0,
Massachusetts,Minute Man NHP,"1,083,973",6.55%,0,,0,,0,,0,,0,
Massachusetts,New Bedford Whaling NHP,"18,243",-87.28%,0,,0,,0,,0,,0,
Massachusetts,Salem Maritime NHS,"125,554",-62.99%,0,,0,,0,,0,,0,
Massachusetts,Saugus Iron Works NHS,"16,928",107.71%,0,,0,,0,,0,,0,
Massachusetts,Springfield Armory NHS,"1,032",-95.08%,0,,0,,0,,0,,0,
Michigan,Isle Royale NP,"6,493",-75.41%,0,-100.00%,0,-100.00%,"2,086",-57.45%,0,,"8,024",-70.17%
Michigan,Keweenaw NHP,"2,130",-89.63%,0,,0,,0,,0,,0,
Michigan,Pictured Rocks NL,"1,212,251",41.17%,0,,0,,"18,085",7.32%,"10,429",67.88%,"27,707",-1.68%
Michigan,River Raisin NBP,"309,977",36.94%,0,,0,,0,,0,,0,
Michigan,Sleeping Bear Dunes NL,"1,718,696",9.47%,0,,0,,"43,560",-26.47%,"42,612",-30.91%,"4,115",-78.66%
Minnesota,Grand Portage NM,"66,426",-30.07%,0,,0,,0,,0,,44,-22.81%
Minnesota,Mississippi NRRA,"204,707",-45.37%,0,,0,,0,,0,,0,
Minnesota,Pipestone NM,"38,229",-50.68%,0,,0,,0,,0,,0,
Minnesota,Saint Croix NSR,"399,310",25.12%,0,,0,,0,,0,,"43,684",28.18%
