Park,Recreation Visitors,TentOvernights,RecreationVehicleOvernights,BackcountryOvernights
Denali ,54850,0,0,5332
Gates of the Arctic ,2872,0,0,1086
Glacier Bay ,5748,94,0,989
Katmai ,51511,0,0,20298
Kenai Fjords ,115882,0,0,122
Kobuk Valley ,11185,0,0,4888
Lake Clark ,4948,0,0,3048
Wrangell-St. Elias ,16655,0,0,0
 of American Samoa,4819,0,0,0
Grand Canyon ,2897098,17331,6338,177589
Petrified Forest ,384483,0,0,209
Saguaro ,762226,0,0,3461
Hot Springs ,1348215,3190,27217,0
Channel Islands ,167290,0,0,9264
Death Valley ,809191,68417,78746,1674
Joshua Tree ,2399542,179600,54393,8915
Kings Canyon ,415077,17846,4328,10831
Lassen Volcanic ,542274,70239,32754,5187
Pinnacles ,165740,0,0,0
Redwood ,265177,1706,0,4931
Sequoia ,796086,25333,18005,20943
Yosemite ,2268313,68002,44496,143760
Black Canyon of the Gunnison ,341620,18768,10979,2419
Great Sand Dunes ,461532,21783,12925,4910
Mesa Verde ,287477,12660,13809,0
Rocky Mountain ,3305199,31350,37017,41522
Biscayne ,402770,145,0,0
Dry Tortugas ,48543,3954,0,0
Everglades ,702319,0,0,14159
Haleakala ,319147,2400,0,392
Hawaii Volcanoes ,589775,782,50,4052
Indiana Dunes ,2293106,18572,4765,0
Mammoth Cave ,290392,18202,7078,3090
Acadia ,2669034,0,0,0
Isle Royale ,6493,2086,0,8024
Voyageurs ,263091,0,0,67277
Gateway Arch ,486021,0,0,0
Glacier ,1698864,18635,17733,16596
Yellowstone ,1941215,0,0,5907
Death Valley ,10830,0,0,0
Great Basin ,120248,19965,15827,239
Carlsbad Caverns ,183835,0,0,116
White Sands ,415383,0,0,808
Great Smoky Mountains ,5322116,53106,41833,39552
Theodore Roosevelt ,551303,227,505,2591
Cuyahoga Valley ,2755628,0,0,0
Crater Lake ,670500,0,0,3135
Congaree ,119306,0,0,724
Badlands ,916932,3739,690,4514
Wind Cave ,448405,2576,2737,403
Great Smoky Mountains ,6773604,91385,73734,50340
Big Bend ,393907,32197,26952,28219
Guadalupe Mountains ,151256,5753,5024,1715
Arches ,1238083,10382,10621,34
Bryce Canyon ,1464655,37491,32319,1680
Canyonlands ,493914,5606,4413,59800
Capitol Reef ,981038,14787,16005,2849
Zion ,3591254,81108,61792,4906
Virgin Islands ,167540,0,0,0
Shenandoah ,1666265,109455,47361,52905
Mount Rainier ,1160754,38099,14337,30983
North Cascades ,30885,0,0,22966
Olympic ,2499177,129320,66034,103682
New River Gorge ,1054374,815,250,0
Grand Teton ,3289638,0,0,40249
Yellowstone ,1865088,19731,23290,33457