Park,TentOvernights,RecreationVehicleOvernights,BackcountryOvernights
Denali ,0,0,5332
Gates of the Arctic ,0,0,1086
Glacier Bay ,94,0,989
Katmai ,0,0,20298
Kenai Fjords ,0,0,122
Kobuk Valley ,0,0,4888
Lake Clark ,0,0,3048
Wrangell-St. Elias ,0,0,0
 of American Samoa,0,0,0
Grand Canyon ,17331,6338,177589
Petrified Forest ,0,0,209
Saguaro ,0,0,3461
Hot Springs ,3190,27217,0
Channel Islands ,0,0,9264
Death Valley ,68417,78746,1674
Joshua Tree ,179600,54393,8915
Kings Canyon ,17846,4328,10831
Lassen Volcanic ,70239,32754,5187
Pinnacles ,0,0,0
Redwood ,1706,0,4931
Sequoia ,25333,18005,20943
Yosemite ,68002,44496,143760
Black Canyon of the Gunnison ,18768,10979,2419
Great Sand Dunes ,21783,12925,4910
Mesa Verde ,12660,13809,0
Rocky Mountain ,31350,37017,41522
Biscayne ,145,0,0
Dry Tortugas ,3954,0,0
Everglades ,0,0,14159
Haleakala ,2400,0,392
Hawaii Volcanoes ,782,50,4052
Indiana Dunes ,18572,4765,0
Mammoth Cave ,18202,7078,3090
Acadia ,0,0,0
Isle Royale ,2086,0,8024
Voyageurs ,0,0,67277
Gateway Arch ,0,0,0
Glacier ,18635,17733,16596
Yellowstone ,0,0,5907
Death Valley ,0,0,0
Great Basin ,19965,15827,239
Carlsbad Caverns ,0,0,116
White Sands ,0,0,808
Great Smoky Mountains ,53106,41833,39552
Theodore Roosevelt ,227,505,2591
Cuyahoga Valley ,0,0,0
Crater Lake ,0,0,3135
Congaree ,0,0,724
Badlands ,3739,690,4514
Wind Cave ,2576,2737,403
Great Smoky Mountains ,91385,73734,50340
Big Bend ,32197,26952,28219
Guadalupe Mountains ,5753,5024,1715
Arches ,10382,10621,34
Bryce Canyon ,37491,32319,1680
Canyonlands ,5606,4413,59800
Capitol Reef ,14787,16005,2849
Zion ,81108,61792,4906
Virgin Islands ,0,0,0
Shenandoah ,109455,47361,52905
Mount Rainier ,38099,14337,30983
North Cascades ,0,0,22966
Olympic ,129320,66034,103682
New River Gorge ,815,250,0
Grand Teton ,0,0,40249
Yellowstone ,19731,23290,33457
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,