Year,Park,TentOvernights,RecreationVehicleOvernights,BackcountryOvernights
2020,Denali ,0,0,5332
2020,Gates of the Arctic ,0,0,1086
2020,Glacier Bay ,94,0,989
2020,Katmai ,0,0,20298
2020,Kenai Fjords ,0,0,122
2020,Kobuk Valley ,0,0,4888
2020,Lake Clark ,0,0,3048
2020,Wrangell-St. Elias ,0,0,0
2020, of American Samoa,0,0,0
2020,Grand Canyon ,17331,6338,177589
2020,Petrified Forest ,0,0,209
2020,Saguaro ,0,0,3461
2020,Hot Springs ,3190,27217,0
2020,Channel Islands ,0,0,9264
2020,Death Valley ,68417,78746,1674
2020,Joshua Tree ,179600,54393,8915
2020,Kings Canyon ,17846,4328,10831
2020,Lassen Volcanic ,70239,32754,5187
2020,Pinnacles ,0,0,0
2020,Redwood ,1706,0,4931
2020,Sequoia ,25333,18005,20943
2020,Yosemite ,68002,44496,143760
2020,Black Canyon of the Gunnison ,18768,10979,2419
2020,Great Sand Dunes ,21783,12925,4910
2020,Mesa Verde ,12660,13809,0
2020,Rocky Mountain ,31350,37017,41522
2020,Biscayne ,145,0,0
2020,Dry Tortugas ,3954,0,0
2020,Everglades ,0,0,14159
2020,Haleakala ,2400,0,392
2020,Hawaii Volcanoes ,782,50,4052
2020,Indiana Dunes ,18572,4765,0
2020,Mammoth Cave ,18202,7078,3090
2020,Acadia ,0,0,0
2020,Isle Royale ,2086,0,8024
2020,Voyageurs ,0,0,67277
2020,Gateway Arch ,0,0,0
2020,Glacier ,18635,17733,16596
2020,Yellowstone ,0,0,5907
2020,Death Valley ,0,0,0
2020,Great Basin ,19965,15827,239
2020,Carlsbad Caverns ,0,0,116
2020,White Sands ,0,0,808
2020,Great Smoky Mountains ,53106,41833,39552
2020,Theodore Roosevelt ,227,505,2591
2020,Cuyahoga Valley ,0,0,0
2020,Crater Lake ,0,0,3135
2020,Congaree ,0,0,724
2020,Badlands ,3739,690,4514
2020,Wind Cave ,2576,2737,403
2020,Great Smoky Mountains ,91385,73734,50340
2020,Big Bend ,32197,26952,28219
2020,Guadalupe Mountains ,5753,5024,1715
2020,Arches ,10382,10621,34
2020,Bryce Canyon ,37491,32319,1680
2020,Canyonlands ,5606,4413,59800
2020,Capitol Reef ,14787,16005,2849
2020,Zion ,81108,61792,4906
2020,Virgin Islands ,0,0,0
2020,Shenandoah ,109455,47361,52905
2020,Mount Rainier ,38099,14337,30983
2020,North Cascades ,0,0,22966
2020,Olympic ,129320,66034,103682
2020,New River Gorge ,815,250,0
2020,Grand Teton ,0,0,40249
2020,Yellowstone ,19731,23290,33457
2019,Kenai Fjords   ,1076,0,566
2019,Kobuk Valley  ,0,0,7050
2019,Grand Canyon  ,120208,63565,320032
2019,Petrified Forest  ,0,0,1451
2019,Saguaro  ,0,0,2185
2019,Hot Springs  ,1455,24251,0
2019,Channel Islands  ,0,0,23411
2019,Death Valley  ,74511,97574,1915
2019,Joshua Tree  ,232300,78192,18184
2019,Kings Canyon  ,103643,32589,15650
2019,Lassen Volcanic  ,56856,29916,6685
2019,Pinnacles  ,0,0,0
2019,Redwood  ,2721,0,3276
2019,Sequoia  ,133088,68679,29871
2019,Yosemite  ,469585,211948,155578
2019,Black Canyon of the Gunnison  ,17796,12273,1861
2019,Mesa Verde  ,33621,26110,0
2019,Rocky Mountain  ,112791,64809,41213
2019,Biscayne  ,238,0,0
2019,Dry Tortugas  ,6786,0,0
2019,Everglades  ,0,0,12732
2019,Haleakala  ,9071,0,1616
2019,Hawaii Volcanoes  ,1091,41,3658
2019,Indiana Dunes  ,16316,6468,0
2019,Mammoth Cave  ,36695,10741,3182
2019,Acadia  ,140985,57696,1284
2019,Isle Royale  ,4902,0,26899
2019,Voyageurs  ,0,0,45262
2019,Gateway Arch  ,0,0,0
2019,Glacier  ,118181,126099,34759
2019,Yellowstone  ,0,0,5734
2019,Great Basin  ,20735,17813,48
2019,Carlsbad Caverns  ,0,0,225
2019,White Sands  ,0,0,4243
2019,Great Smoky Mountains  ,49925,36817,41611
2019,Theodore Roosevelt  ,16862,20524,735
2019,Cuyahoga Valley  ,0,0,0
2019,Crater Lake  ,4694,0,2436
2019,Congaree  ,0,0,881
2019,Badlands  ,3490,930,2493
2019,Wind Cave  ,3632,3715,369
2019,Great Smoky Mountains  ,105483,76723,52958
2019,Big Bend  ,54402,28845,23320
2019,Guadalupe Mountains  ,10621,6383,2838
2019,"Arches    
",17523,16290,405
2019,Bryce Canyon  ,30080,23653,1394
2019,Canyonlands  ,9135,7785,77695
2019,Capitol Reef  ,25665,23993,4010
2019,Zion  ,118290,78704,18320
2019,Virgin Islands  ,0,0,0
2019,Shenandoah  ,119649,59820,32391
2019,Mount Rainier  ,83353,30408,47703
2019,North Cascades  ,0,0,27581
2019,Olympic  ,134569,73701,96864
2019,Grand Teton  ,0,0,36292
2019,Yellowstone  ,81022,80294,32502
2019,Denali   ,0,0,26211
2019,Gates of the Arctic   ,0,0,4058
2019,Glacier Bay   ,744,0,4211
2019,Katmai   ,2560,0,458
2019,Lake Clark   ,0,0,686
2019,Wrangell-St. Elias   ,0,0,0
2019,Great Sand Dunes   ,29376,21867,4933
2019,Acadia  ,140985,57696,1284
2019,New River Gorge   ,5074,1032,0